financial_year,type,status,no_of_units
2017,Restaurants ,Under Construction,19
2017,Restaurants ,Awarded,3
2017,Supermarkets/Minimarts,Completed,15
2017,Supermarkets/Minimarts,Under Construction,26
2017,Supermarkets/Minimarts,Awarded,7
2017,Offices,Completed,0
2017,Offices,Under Construction,0
2017,Offices,Awarded,0
2017,Commercial Spaces,Completed,0
2017,Commercial Spaces,Under Construction,2
2017,Commercial Spaces,Awarded,0
2017,Neighbourhood Centres,Completed,0
2017,Neighbourhood Centres,Under Construction,6
2017,Neighbourhood Centres,Awarded,0
2018,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,33
2018,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,284
2018,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,134
2018,Markets and Hawker Centres,Awarded,0
2018,Markets and Hawker Centres,Under Construction,2
2018,Markets and Hawker Centres,Completed,0
2018,Kiosks and Shoplets,Awarded,0
2018,Kiosks and Shoplets,Under Construction,0
2018,Kiosks and Shoplets,Completed,0
2018,Supermarkets/Minimarts,Awarded,5
2018,Supermarkets/Minimarts,Under Construction,33
2018,Supermarkets/Minimarts,Completed,11
2018,Offices,Awarded,0
2018,Offices,Under Construction,0
2018,Offices,Completed,0
2018,Neighbourhood Centres,Awarded,2
2018,Neighbourhood Centres,Under Construction,6
2018,Neighbourhood Centres,Completed,0
2019,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,68
2019,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,297
2019,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,52
2019,Markets and Hawker Centres,Awarded,0
2019,Markets and Hawker Centres,Under Construction,2
2019,Markets and Hawker Centres,Completed,0
2019,Kiosks and Shoplets,Awarded,0
2019,Kiosks and Shoplets,Under Construction,0
2019,Kiosks and Shoplets,Completed,0
2019,Supermarkets/Minimarts,Awarded,7
2019,Supermarkets/Minimarts,Under Construction,32
2019,Supermarkets/Minimarts,Completed,10
2019,Offices,Awarded,0
2019,Offices,Under Construction,0
2019,Offices,Completed,0
2019,Neighbourhood Centres,Awarded,0
2019,Neighbourhood Centres,Under Construction,5
2019,Neighbourhood Centres,Completed,0
2020,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,5
2020,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,258
2020,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,38
2020,Markets and Hawker Centres,Awarded,-
2020,Markets and Hawker Centres,Under Construction,2
2020,Markets and Hawker Centres,Completed,-
2020,Kiosks and Shoplets,Awarded,1
2020,Kiosks and Shoplets,Under Construction,0
2020,Kiosks and Shoplets,Completed,-
2020,Supermarkets/Minimarts,Awarded,-
2020,Supermarkets/Minimarts,Under Construction,27
2020,Supermarkets/Minimarts,Completed,5
2020,Offices,Awarded,-
2020,Offices,Under Construction,0
2020,Offices,Completed,-
2020,Neighbourhood Centres,Awarded,-
2020,Neighbourhood Centres,Under Construction,4
2020,Neighbourhood Centres,Completed,1
2021,"Shops, Lock-Up Shops and Eating Houses/Cafes",Awarded,44
2021,"Shops, Lock-Up Shops and Eating Houses/Cafes",Under Construction,436
2021,"Shops, Lock-Up Shops and Eating Houses/Cafes",Completed,118
2021,Markets and Hawker Centres,Awarded,-
2021,Markets and Hawker Centres,Under Construction,2
2021,Markets and Hawker Centres,Completed,-
2021,Kiosks and Shoplets,Awarded,-
2021,Kiosks and Shoplets,Under Construction,0
2021,Kiosks and Shoplets,Completed,-
2021,Supermarkets/Minimarts,Awarded,6
2021,Supermarkets/Minimarts,Under Construction,32
2021,Supermarkets/Minimarts,Completed,3
2021,Offices,Awarded,-
2021,Offices,Under Construction,0
2021,Offices,Completed,-
2021,Neighbourhood Centres,Awarded,1
2021,Neighbourhood Centres,Under Construction,3
2021,Neighbourhood Centres,Completed,2
